,HMD,subID,task,exper_start(s),exper_end(s)
0,varjo,P14,cereal,2.262060033499905,175.43505986032687
1,varjo,P14,sandwich,-0.044110364768092936,502.05748913313033
2,varjo,P23,cereal,0.7940935292454938,189.21566000749058
3,varjo,P23,sandwich,1.6597917579926182,948.8393574774798
4,varjo,P19,cereal,2.9638277295082527,137.79852759467354
5,varjo,P19,sandwich,4.06099059679254,414.57109018628233
6,varjo,P2,cereal,-0.9073395448755441,121.78189366576854
7,varjo,P2,sandwich,0.7896892803206725,766.5546885145557
8,varjo,P9,cereal,1.8281599051783743,123.95015978305636
9,varjo,P9,sandwich,-0.47257191297791223,384.1449943690712
10,varjo,P18,cereal,3.5926227396065027,139.1947559373377
11,varjo,P18,sandwich,-0.8391714941561617,359.1537948125175
12,varjo,P21,cereal,23.62727132828931,175.8126378427706
13,varjo,P21,sandwich,-0.007273683830386624,727.8531922549759
14,varjo,P22,cereal,2.1576892467638142,191.31332239094152
15,varjo,P22,sandwich,6.39458859874976,784.3717878207726
16,varjo,P5,cereal,0.5631961045850136,105.86839599927981
17,varjo,P5,sandwich,-1.0705360361268506,336.33319695980276
18,varjo,P16,cereal,-1.1042697235038852,226.8567967152017
19,varjo,P16,sandwich,-0.4701362298603966,776.3725963266302
20,varjo,P4,cereal,-0.10630598702123972,170.36399384250845
21,varjo,P4,sandwich,6.225419679032216,442.4945859094297
22,varjo,P13,cereal,-0.16990296120501203,204.56796350072378
23,varjo,P13,sandwich,-1.6390038932127862,499.16129560598694
24,varjo,P25,cereal,-0.20510473155698783,296.3578283052134
25,varjo,P25,sandwich,2.062760902798364,716.6432935215511
26,varjo,P24,cereal,3.0621259912116336,155.04729250589313
27,varjo,P24,sandwich,1.8212532420917213,520.7396527231733
28,varjo,P15,cereal,-2.6392698507243164,130.0599633499098
29,varjo,P3,cereal,2.359023674316977,182.17199016117067
30,varjo,P3,sandwich,6.72515227152209,539.6575517385897
31,varjo,P6,cereal,0.32612605832535024,108.70105928328374
32,varjo,P6,sandwich,0.32756077577813336,436.46326033964243
33,varjo,P8,sandwich,2.3954599689887894,665.19092597286
